"ID";"ClassOfVehicleAge";"Periods";"TotalRoadVehicles_1";"PassengerCar_2";"TotalCommercialVehicles_3";"TotalCommercialMotorVehicles_4";"DeliveryVan_5";"Lorry_6";"RoadTractor_7";"SpecialPurposeVehicle_8";"Bus_9";"TotalTrailersAndSemiTrailers_10";"Trailer_11";"SemiTrailer_12";"Motorcycle_13"
"49";"51200  ";"2005JJ00";" 1282468";"  964314";"  286110";"  182456";"  153140";"   10205";"   13694";"    3834";"    1583";"  103654";"   89348";"   14306";"   32044"
"50";"51200  ";"2006JJ00";" 1272374";"  942992";"  296927";"  189358";"  160343";"    9099";"   14675";"    3411";"    1830";"  107569";"   90810";"   16759";"   32455"
"51";"51200  ";"2007JJ00";" 1240089";"  925384";"  283370";"  180604";"  150621";"    9047";"   15649";"    3200";"    2087";"  102766";"   83865";"   18901";"   31335"
"52";"51200  ";"2008JJ00";" 1225088";"  930434";"  265251";"  164763";"  129461";"   10862";"   19356";"    3167";"    1917";"  100488";"   80344";"   20144";"   29403"
"53";"51200  ";"2009JJ00";" 1287825";"  971193";"  285917";"  179753";"  142983";"   11285";"   20252";"    3309";"    1924";"  106164";"   81222";"   24942";"   30715"
"54";"51200  ";"2010JJ00";" 1329723";"  989347";"  306868";"  199146";"  162487";"   11334";"   19313";"    3663";"    2349";"  107722";"   79420";"   28302";"   33508"
"55";"51200  ";"2011JJ00";" 1164904";"  880309";"  253375";"  166356";"  133012";"   11271";"   16273";"    3423";"    2377";"   87019";"   67606";"   19413";"   31220"
"56";"51200  ";"2012JJ00";" 1089827";"  873133";"  190669";"  122899";"   99107";"    8757";"   10634";"    2518";"    1883";"   67770";"   56441";"   11329";"   26025"
"57";"51200  ";"2013JJ00";" 1259185";" 1040549";"  196355";"  128848";"  106035";"    7442";"   11770";"    2287";"    1314";"   67507";"   54441";"   13066";"   22281"
"58";"51200  ";"2014JJ00";" 1287372";" 1065954";"  201351";"  136479";"  111900";"    7157";"   13833";"    2231";"    1358";"   64872";"   50273";"   14599";"   20067"
"59";"51200  ";"2015JJ00";" 1143545";"  938037";"  186994";"  128891";"  104086";"    6673";"   14667";"    2098";"    1367";"   58103";"   43013";"   15090";"   18514"
"60";"51200  ";"2016JJ00";" 1032087";"  829840";"  183306";"  123368";"  100775";"    5756";"   13677";"    1923";"    1237";"   59938";"   41640";"   18298";"   18941"
"61";"51200  ";"2017JJ00";" 1097166";"  877601";"  198427";"  131215";"  108332";"    5733";"   14252";"    1911";"     987";"   67212";"   45205";"   22007";"   21138"
"62";"51200  ";"2018JJ00";" 1133474";"  880492";"  229492";"  156304";"  128207";"    7227";"   17207";"    2479";"    1184";"   73188";"   49026";"   24162";"   23490"
"63";"51200  ";"2019JJ00";" 1129756";"  849835";"  255040";"  174760";"  144933";"    7985";"   17503";"    2617";"    1722";"   80280";"   54040";"   26240";"   24881"
"64";"51200  ";"2020JJ00";" 1216311";"  920950";"  269810";"  183224";"  153074";"    8397";"   17536";"    2790";"    1427";"   86586";"   58288";"   28298";"   25551"
"65";"51200  ";"2021JJ00";" 1267418";"  964695";"  275485";"  188077";"  156410";"    9168";"   17801";"    3250";"    1448";"   87408";"   60911";"   26497";"   27238"
"66";"51400  ";"2000JJ00";" 1019026";"  847473";"  140426";"  140426";"  110469";"   12647";"   12940";"    3156";"    1214";"";"";"";"   31127"
"67";"51400  ";"2001JJ00";" 1092169";"  887131";"  172852";"  172852";"  141914";"   13025";"   12902";"    3909";"    1102";"";"";"";"   32186"
"68";"51400  ";"2002JJ00";" 1194215";"  960364";"  201465";"  201465";"  168173";"   13248";"   14589";"    4397";"    1058";"";"";"";"   32386"
